cnpjCoordenadorLider,cnpjEmissor,data,idRequerimento,nomeCoordenadorLider,nomeEmissor,nomeTipoRequerimento,nomeValorMobiliario,numeroProcesso,numeroProtocolo,numeroRegistro,possuiBook,razaoSocialFundoAssociado,registroAutomatico,statusDaOferta,tipoDeOferta,totalRegistros,valorTotalEmReais,vasoComunicante
90.400.888/0001-42,75.904.383/0001-21,17/04/2026,25978,BANCO SANTANDER (BRASIL) S.A.,COAMO AGROINDUSTRIAL COOPERATIVA,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1198/2026,1198/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"500.000.000,0000",False
02.332.886/0001-04,25.005.683/0001-09,16/04/2026,25971,XP INVESTIMENTOS CCTVM S.A.,VERT COMPANHIA SECURITIZADORA,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1197/2026,1197/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"727.500.000,0000",False
60.391.854/0001-78,63.976.069/0001-75,16/04/2026,25975,M7 IB SOLUCOES FINANCEIRAS LTDA,FIBRA MERKAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1196/2026,1196/2026,CVM/SRE/AUT/FDC/PRI/2026/593;CVM/SRE/AUT/FDC/PRI/2026/594;CVM/SRE/AUT/FDC/PRI/2026/595,False,FIBRA MERKAVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MERCANTIS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"50.000.000,0000",False
28.650.236/0001-92,63.113.571/0001-52,16/04/2026,25974,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. - GLPG DTVM,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1195/2026,1195/2026,CVM/SRE/AUT/FDC/PRI/2026/592,False,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"20.000.505,0000",False
28.650.236/0001-92,63.113.571/0001-52,16/04/2026,25972,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. - GLPG DTVM,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1194/2026,1194/2026,CVM/SRE/AUT/FDC/PRI/2026/591,False,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",False
28.650.236/0001-92,63.113.571/0001-52,16/04/2026,25970,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. - GLPG DTVM,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1193/2026,1193/2026,CVM/SRE/AUT/FDC/PRI/2026/590,False,GALAPAGOS ARCESP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"160.000.000,0000",False
33.817.677/0001-76,64.948.494/0001-13,16/04/2026,25973,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RIALMA ENERGIA SPE S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1192/2026,1192/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"340.300.000,0000",False
04.845.753/0001-59,18.593.815/0001-97,16/04/2026,25873,ITAU BBA ASSESSORIA FINANCEIRA S.A,PRINER SERVIÇOS INDUSTRIAIS S.A.,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/1102/2026,1102/2026,CVM/SRE/AUT/DEB/PRI/2026/204,True,,True,Registro Concedido,PRIMARIA,413,"200.000.000,0000",False
90.400.888/0001-42,10.920.961/0001-78,16/04/2026,25959,BANCO SANTANDER (BRASIL) S.A.,SOMA URBANISMO S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1191/2026,1191/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"45.000.000,0000",False
06.271.464/0001-19,51.490.603/0001-50,16/04/2026,25931,BANCO BRADESCO BBI S.A.,PARQUE EOLICO JACOBINA 05 S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1190/2026,1190/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,413,"45.000.000,0000",False
02.332.886/0001-04,03.497.792/0001-40,16/04/2026,25907,XP INVESTIMENTOS CCTVM S.A.,RODOVIAS INTEGRADAS DO OESTE S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1142/2026,1143/2026,CVM/SRE/AUT/DEB/PRI/2026/203,True,,True,Registro Concedido,PRIMARIA,413,"922.000.000,0000",False
59.588.111/0001-03,12.303.730/0001-40,16/04/2026,25916,BANCO VOTORANTIM S.A.,POSIDONIA SHIPPING & TRADING LTDA,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1189/2026,1189/2026,CVM/SRE/AUT/NOC/PRI/2026/073,False,,True,Registro Concedido,PRIMARIA,413,"150.000.000,0000",False
00.360.305/0001-04,04.200.649/0001-07,16/04/2026,25909,CAIXA ECONOMICA FEDERAL,CIA PROVINCIA DE SECURITIZAÇÃO,OPD Aut Profissional - com bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1137/2026,1138/2026,CVM/SRE/AUT/CRI/PRI/2026/216,True,,True,Registro Concedido,PRIMARIA,413,"60.000.000,0000",False
13.486.793/0001-42,57.139.003/0001-28,16/04/2026,25949,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,IMPACTO ROXO FIDC DE PRECATÓRIOS DE RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1188/2026,1188/2026,CVM/SRE/AUT/FDC/PRI/2026/588;CVM/SRE/AUT/FDC/PRI/2026/589,False,IMPACTO ROXO FIDC DE PRECATÓRIOS DE RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"155.000.000,0000",False
24.361.690/0001-72,58.036.896/0001-49,16/04/2026,25968,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,ORIZ JUS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1187/2026,1187/2026,CVM/SRE/AUT/FDC/PRI/2026/587,False,ORIZ JUS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"8.000.000,0000",False
48.343.871/0001-34,60.777.129/0001-32,16/04/2026,25960,BAMBOO SECURITIZADORA S.A.,DIRECTCON FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1186/2026,1186/2026,CVM/SRE/AUT/FDC/PRI/2026/586,False,DIRECTCON FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",False
62.285.390/0001-40,52.304.780/0001-67,16/04/2026,25773,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1185/2026,1185/2026,CVM/SRE/AUT/FDC/PRI/2026/585,False,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",False
62.285.390/0001-40,52.304.780/0001-67,16/04/2026,25772,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1184/2026,1184/2026,CVM/SRE/AUT/FDC/PRI/2026/584,False,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"80.000.000,0000",False
04.845.753/0001-59,25.005.683/0001-09,16/04/2026,25832,ITAU BBA ASSESSORIA FINANCEIRA S.A,VERT COMPANHIA SECURITIZADORA,OPD Aut Profissional - com bookbuilding,Outros títulos de securitização,SRE/1058/2026,1058/2026,CVM/SRE/AUT/OTS/PRI/2026/072,True,,True,Registro Concedido,PRIMARIA,413,"32.000.000,0000",False
02.773.542/0001-22,02.773.542/0001-22,16/04/2026,25950,OPEA SECURITIZADORA S.A.,OPEA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1183/2026,1183/2026,CVM/SRE/AUT/CRI/PRI/2026/215,False,,True,Registro Concedido,PRIMARIA,413,"5.000.000,0000",False
59.281.253/0001-23,65.534.946/0001-83,16/04/2026,25952,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,051 STARBOARD IV FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,OPD Aut Profissional - sem bookbuilding,Cotas de FIF,SRE/1182/2026,1182/2026,CVM/SRE/AUT/FIF/PRI/2026/053,False,051 STARBOARD IV FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,True,Registro Concedido,PRIMARIA,413,"20.000.000,0000",True
46.482.072/0001-13,20.512.706/0001-40,15/04/2026,25846,BTG PACTUAL INVESTMENT BANKING LTDA.,VITRU EDUCAÇÃO S.A.,OPD Aut Profissional - com bookbuilding - AR,Ações,SRE/1085/2026,1085/2026,CVM/SRE/AUT/ACO/PRI/2026/007,True,,True,Registro Concedido,PRIMARIA,413,"203.539.817,0000",False
45.246.410/0001-55,49.520.420/0001-98,15/04/2026,25958,BANCO GENIAL S.A.,AFINITTY FIC DE FIDC FINANCEIROS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1181/2026,1181/2026,CVM/SRE/AUT/FDC/PRI/2026/583,False,AFINITTY FIC DE FIDC FINANCEIROS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"100.000.000,0000",False
26.609.050/0001-64,26.609.050/0001-64,15/04/2026,25956,TRAVESSIA SECURITIZADORA S.A.,TRAVESSIA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1180/2026,1180/2026,CVM/SRE/AUT/CRI/PRI/2026/214,False,,True,Registro Concedido,PRIMARIA,413,"7.000.000,0000",False
59.281.253/0001-23,54.217.318/0001-58,15/04/2026,25957,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,G5 ALLOCATION DISTRESSED E LEGAL CLAIMS II FUNDO DE INVESTIMENTO MULTIMERCADO,OPD Aut Profissional - sem bookbuilding,Cotas de FIF,SRE/1179/2026,1179/2026,CVM/SRE/AUT/FIF/PRI/2026/052,False,G5 ALLOCATION DISTRESSED E LEGAL CLAIMS II FUNDO DE INVESTIMENTO MULTIMERCADO,True,Registro Concedido,PRIMARIA,413,"10.000.000,0000",False
18.313.996/0001-50,40.672.219/0001-51,15/04/2026,25908,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,FUTURUM VENTURE CAPITAL II MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,OPD Aut Profissional - sem bookbuilding,Cotas de FIP,SRE/1178/2026,1178/2026,CVM/SRE/AUT/FIP/PRI/2026/092,False,FUTURUM VENTURE CAPITAL II MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,True,Registro Concedido,PRIMARIA,413,"12.847.974,9000",False
59.281.253/0001-23,44.625.612/0001-45,15/04/2026,25955,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1177/2026,1177/2026,CVM/SRE/AUT/FII/PRI/2026/123,False,REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"149.994.243,7500",False
06.271.464/0001-19,07.682.638/0001-07,15/04/2026,25683,BANCO BRADESCO BBI S.A.,CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO S.A.,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/0937/2026,937/2026,CVM/SRE/AUT/DEB/PRI/2026/202,True,,True,Oferta Encerrada,PRIMARIA,413,"1.829.000.000,0000",False
00.806.535/0001-54,11.769.604/0001-13,15/04/2026,25953,PLANNER CORRETORA DE VALORES S.A.,GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1176/2026,1176/2026,CVM/SRE/AUT/FII/PRI/2026/122,False,GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"105.088.500,0000",False
04.845.753/0001-59,04.310.364/0001-29,15/04/2026,25854,ITAU BBA ASSESSORIA FINANCEIRA S.A,EMBRAST INDUSTRIA E COMERCIO LTDA,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1089/2026,1089/2026,CVM/SRE/AUT/NOC/PRI/2026/072,True,,True,Registro Concedido,PRIMARIA,413,"100.000.000,0000",False
41.592.532/0001-42,54.500.419/0001-31,15/04/2026,25943,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,RIVIERA DOURADA FUNDO DE INVESTIMENTO IMOBILIÁRIO,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1175/2026,1175/2026,CVM/SRE/AUT/FII/PRI/2026/121,False,RIVIERA DOURADA FUNDO DE INVESTIMENTO IMOBILIÁRIO,True,Registro Concedido,PRIMARIA,413,"3.000.000,0000",False
00.556.603/0001-74,10.608.405/0001-60,15/04/2026,25948,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A,BARI SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1174/2026,1174/2026,CVM/SRE/AUT/CRI/PRI/2026/213,False,,True,Registro Concedido,PRIMARIA,413,"230.386.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25944,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1173/2026,1173/2026,CVM/SRE/AUT/FDC/PRI/2026/582,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"24.000.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25946,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1172/2026,1172/2026,CVM/SRE/AUT/FDC/PRI/2026/581,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"30.000.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25945,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1171/2026,1171/2026,CVM/SRE/AUT/FDC/PRI/2026/580,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,413,"6.000.000,0000",False
