cnpjCoordenadorLider,cnpjEmissor,data,idRequerimento,nomeCoordenadorLider,nomeEmissor,nomeTipoRequerimento,nomeValorMobiliario,numeroProcesso,numeroProtocolo,numeroRegistro,possuiBook,razaoSocialFundoAssociado,registroAutomatico,statusDaOferta,tipoDeOferta,totalRegistros,valorTotalEmReais,vasoComunicante
62.285.390/0001-40,52.304.780/0001-67,16/04/2026,25773,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1185/2026,1185/2026,CVM/SRE/AUT/FDC/PRI/2026/585,False,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"20.000.000,0000",False
62.285.390/0001-40,52.304.780/0001-67,16/04/2026,25772,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1184/2026,1184/2026,CVM/SRE/AUT/FDC/PRI/2026/584,False,STARS BANK I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"80.000.000,0000",False
04.845.753/0001-59,25.005.683/0001-09,16/04/2026,25832,ITAU BBA ASSESSORIA FINANCEIRA S.A,VERT COMPANHIA SECURITIZADORA,OPD Aut Profissional - com bookbuilding,Outros títulos de securitização,SRE/1058/2026,1058/2026,CVM/SRE/AUT/OTS/PRI/2026/072,True,,True,Registro Concedido,PRIMARIA,1043,"32.000.000,0000",False
02.773.542/0001-22,02.773.542/0001-22,16/04/2026,25950,OPEA SECURITIZADORA S.A.,OPEA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1183/2026,1183/2026,CVM/SRE/AUT/CRI/PRI/2026/215,False,,True,Registro Concedido,PRIMARIA,1043,"5.000.000,0000",False
59.281.253/0001-23,65.534.946/0001-83,16/04/2026,25952,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,051 STARBOARD IV FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,OPD Aut Profissional - sem bookbuilding,Cotas de FIF,SRE/1182/2026,1182/2026,CVM/SRE/AUT/FIF/PRI/2026/053,False,051 STARBOARD IV FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,True,Registro Concedido,PRIMARIA,1043,"20.000.000,0000",True
46.482.072/0001-13,20.512.706/0001-40,15/04/2026,25846,BTG PACTUAL INVESTMENT BANKING LTDA.,VITRU EDUCAÇÃO S.A.,OPD Aut Profissional - com bookbuilding - AR,Ações,SRE/1085/2026,1085/2026,CVM/SRE/AUT/ACO/PRI/2026/007,True,,True,Registro Concedido,PRIMARIA,1043,"203.539.817,0000",False
45.246.410/0001-55,49.520.420/0001-98,15/04/2026,25958,BANCO GENIAL S.A.,AFINITTY FIC DE FIDC FINANCEIROS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1181/2026,1181/2026,CVM/SRE/AUT/FDC/PRI/2026/583,False,AFINITTY FIC DE FIDC FINANCEIROS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"100.000.000,0000",False
26.609.050/0001-64,26.609.050/0001-64,15/04/2026,25956,TRAVESSIA SECURITIZADORA S.A.,TRAVESSIA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1180/2026,1180/2026,CVM/SRE/AUT/CRI/PRI/2026/214,False,,True,Registro Concedido,PRIMARIA,1043,"7.000.000,0000",False
59.281.253/0001-23,54.217.318/0001-58,15/04/2026,25957,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,G5 ALLOCATION DISTRESSED E LEGAL CLAIMS II FUNDO DE INVESTIMENTO MULTIMERCADO,OPD Aut Profissional - sem bookbuilding,Cotas de FIF,SRE/1179/2026,1179/2026,CVM/SRE/AUT/FIF/PRI/2026/052,False,G5 ALLOCATION DISTRESSED E LEGAL CLAIMS II FUNDO DE INVESTIMENTO MULTIMERCADO,True,Registro Concedido,PRIMARIA,1043,"10.000.000,0000",False
18.313.996/0001-50,40.672.219/0001-51,15/04/2026,25908,TMF BRASIL SERVICOS DE ADMINISTRACAO DE FUNDOS LTDA,FUTURUM VENTURE CAPITAL II MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,OPD Aut Profissional - sem bookbuilding,Cotas de FIP,SRE/1178/2026,1178/2026,CVM/SRE/AUT/FIP/PRI/2026/092,False,FUTURUM VENTURE CAPITAL II MASTER FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,True,Registro Concedido,PRIMARIA,1043,"12.847.974,9000",False
59.281.253/0001-23,44.625.612/0001-45,15/04/2026,25955,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1177/2026,1177/2026,CVM/SRE/AUT/FII/PRI/2026/123,False,REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"149.994.243,7500",False
06.271.464/0001-19,07.682.638/0001-07,15/04/2026,25683,BANCO BRADESCO BBI S.A.,CONCESSIONARIA DA LINHA 4 DO METRO DE SAO PAULO S.A.,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/0937/2026,937/2026,CVM/SRE/AUT/DEB/PRI/2026/202,True,,True,Registro Concedido,PRIMARIA,1043,"1.829.000.000,0000",False
00.806.535/0001-54,11.769.604/0001-13,15/04/2026,25953,PLANNER CORRETORA DE VALORES S.A.,GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1176/2026,1176/2026,CVM/SRE/AUT/FII/PRI/2026/122,False,GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"105.088.500,0000",False
04.845.753/0001-59,04.310.364/0001-29,15/04/2026,25854,ITAU BBA ASSESSORIA FINANCEIRA S.A,EMBRAST INDUSTRIA E COMERCIO LTDA,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1089/2026,1089/2026,CVM/SRE/AUT/NOC/PRI/2026/072,True,,True,Registro Concedido,PRIMARIA,1043,"100.000.000,0000",False
41.592.532/0001-42,54.500.419/0001-31,15/04/2026,25943,MERITO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,RIVIERA DOURADA FUNDO DE INVESTIMENTO IMOBILIÁRIO,OPD Aut Profissional - sem bookbuilding,Cotas de FII,SRE/1175/2026,1175/2026,CVM/SRE/AUT/FII/PRI/2026/121,False,RIVIERA DOURADA FUNDO DE INVESTIMENTO IMOBILIÁRIO,True,Registro Concedido,PRIMARIA,1043,"3.000.000,0000",False
00.556.603/0001-74,10.608.405/0001-60,15/04/2026,25948,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A,BARI SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1174/2026,1174/2026,CVM/SRE/AUT/CRI/PRI/2026/213,False,,True,Registro Concedido,PRIMARIA,1043,"230.386.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25944,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1173/2026,1173/2026,CVM/SRE/AUT/FDC/PRI/2026/582,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"24.000.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25946,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1172/2026,1172/2026,CVM/SRE/AUT/FDC/PRI/2026/581,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"30.000.000,0000",False
39.669.186/0001-01,65.793.331/0001-71,15/04/2026,25945,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1171/2026,1171/2026,CVM/SRE/AUT/FDC/PRI/2026/580,False,CTZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"6.000.000,0000",False
39.669.186/0001-01,57.658.801/0001-66,15/04/2026,25940,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY INSURED CREDIT  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1170/2026,1170/2026,CVM/SRE/AUT/FDC/PRI/2026/579,False,SARFATY INSURED CREDIT  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,True,Registro Concedido,PRIMARIA,1043,"20.000.000,0000",False
39.669.186/0001-01,57.658.801/0001-66,15/04/2026,25942,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY INSURED CREDIT  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1169/2026,1169/2026,CVM/SRE/AUT/FDC/PRI/2026/578,False,SARFATY INSURED CREDIT  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA,True,Registro Concedido,PRIMARIA,1043,"100.000.000,0000",False
02.671.743/0001-19,34.475.959/0001-03,15/04/2026,25921,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PACIFIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1168/2026,1168/2026,CVM/SRE/AUT/FDC/PRI/2026/577,False,PACIFIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"30.000.000,0000",False
02.671.743/0001-19,34.475.959/0001-03,15/04/2026,25919,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PACIFIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1167/2026,1167/2026,CVM/SRE/AUT/FDC/PRI/2026/576,False,PACIFIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"15.000.000,0000",False
62.285.390/0001-40,36.703.167/0001-66,15/04/2026,25937,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1166/2026,1166/2026,CVM/SRE/AUT/FDC/PRI/2026/575,False,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"35.000.000,0000",False
62.285.390/0001-40,36.703.167/0001-66,15/04/2026,25936,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1165/2026,1165/2026,CVM/SRE/AUT/FDC/PRI/2026/574,False,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"2.500.000,0000",False
62.285.390/0001-40,36.703.167/0001-66,15/04/2026,25935,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1164/2026,1164/2026,CVM/SRE/AUT/FDC/PRI/2026/573,False,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"7.500.000,0000",False
62.285.390/0001-40,36.703.167/0001-66,15/04/2026,25934,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1163/2026,1163/2026,CVM/SRE/AUT/FDC/PRI/2026/572,False,YAALEH FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"2.500.000,0000",False
06.271.464/0001-19,13.574.594/0001-96,15/04/2026,25941,BANCO BRADESCO BBI S.A.,ZAMP S.A.,OPD Aut Profissional - com bookbuilding,Debêntures,SRE/1162/2026,1162/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,1043,"500.000.000,0000",False
08.769.451/0001-08,08.769.451/0001-08,15/04/2026,25930,RIZA SECURITIZADORA S.A.,RIZA SECURITIZADORA S.A.,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1161/2026,1161/2026,CVM/SRE/AUT/CRI/PRI/2026/212,False,,True,Registro Concedido,PRIMARIA,1043,"11.000.000,0000",False
04.845.753/0001-59,07.019.752/0001-43,14/04/2026,25939,ITAU BBA ASSESSORIA FINANCEIRA S.A,BAUMGART PARTICIPACOES S/A,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,Notas Comerciais,SRE/1160/2026,1160/2026,CVM/SRE/AUT/NOC/PRI/2026/071,False,,True,Registro Concedido,PRIMARIA,1043,"1.000.000,0000",False
04.845.753/0001-59,35.637.796/0001-72,14/04/2026,25933,ITAU BBA ASSESSORIA FINANCEIRA S.A,LINS AGROINDUSTRIAL S.A.,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/1159/2026,1159/2026,,False,,True,Aguardando Bookbuilding,PRIMARIA,1043,"150.000.000,0000",False
59.281.253/0001-23,66.151.388/0001-30,14/04/2026,25895,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ARES INFRA FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA RESPONSABILIDADE,OPD Aut Público em Geral ou Qualificado - sem bookbuilding,Cotas de FIP,SRE/1158/2026,1158/2026,CVM/SRE/AUT/FIP/PRI/2026/091,False,BTG PACTUAL ARES INFRA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA RESPONSABILIDADE,True,Registro Concedido,PRIMARIA,1043,"400.000.000,0000",False
02.332.886/0001-04,01.891.441/0001-93,14/04/2026,25711,XP INVESTIMENTOS CCTVM S.A.,TRANSPORTADORA BRASILEIRA GASODUTO BOLIVIA-BRASIL S/A,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,Debêntures,SRE/0953/2026,953/2026,CVM/SRE/AUT/DEB/PRI/2026/201,True,,True,Oferta Encerrada,PRIMARIA,1043,"300.000.000,0000",False
58.160.789/0001-28,25.005.683/0001-09,14/04/2026,25938,BANCO SAFRA S/A,VERT COMPANHIA SECURITIZADORA,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1157/2026,1157/2026,CVM/SRE/AUT/CRI/PRI/2026/211,False,,True,Registro Concedido,PRIMARIA,1043,"60.000.000,0000",False
04.845.753/0001-59,02.773.542/0001-22,14/04/2026,25506,ITAU BBA ASSESSORIA FINANCEIRA S.A,OPEA SECURITIZADORA S.A.,OPD Aut Público em Geral ou Qualificado - com bookbuilding,Certificados de Recebíveis Imobiliários,SRE/0768/2026,768/2026,CVM/SRE/AUT/CRI/PRI/2026/210,True,,True,Registro Concedido,PRIMARIA,1043,"397.715.000,0000",False
59.281.253/0001-23,58.733.274/0001-70,14/04/2026,25924,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,SINGULAR LUTECE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITÓRIOS,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1156/2026,1156/2026,CVM/SRE/AUT/FDC/PRI/2026/571,False,SINGULAR LUTECE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DIREITOS CREDITÓRIOS,True,Registro Concedido,PRIMARIA,1043,"25.000.000,0000",False
59.281.253/0001-23,66.198.676/0001-40,14/04/2026,25927,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,RIZA INFRA HEDGE FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF,OPD Aut Profissional - sem bookbuilding,Cotas de Fundos de Infra,SRE/1155/2026,1155/2026,CVM/SRE/AUT/FIN/PRI/2026/013,False,RIZA INFRA HEDGE FI FINANCEIRO EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA RF,True,Registro Concedido,PRIMARIA,1043,"25.000.000,0000",False
92.236.777/0001-78,09.304.427/0001-58,14/04/2026,25866,PINE INVESTIMENTOS DTVM LTDA,HABITASEC SECURITIZADORA SA,OPD Aut Profissional - sem bookbuilding,Certificados de Recebíveis Imobiliários,SRE/1154/2026,1154/2026,CVM/SRE/AUT/CRI/PRI/2026/209,False,,True,Registro Concedido,PRIMARIA,1043,"13.500.000,0000",False
62.232.889/0001-90,66.051.037/0001-57,14/04/2026,25923,BANCO DAYCOVAL S.A.,AZ QUEST INFRA EXCESS RETURN FUNDO DE INVESTIMENTO EM PARTICIPACOES EM INFRAESTRUTURA,OPD Aut Profissional - sem bookbuilding,Cotas de FIP,SRE/1153/2026,1153/2026,CVM/SRE/AUT/FIP/PRI/2026/090,False,AZ QUEST INFRA EXCESS RETURN FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA,True,Registro Concedido,PRIMARIA,1043,"200.000.000,0000",False
39.669.186/0001-01,64.372.173/0001-13,14/04/2026,25918,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1152/2026,1152/2026,CVM/SRE/AUT/FDC/PRI/2026/570,False,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"30.000.000,0000",False
39.669.186/0001-01,64.372.173/0001-13,14/04/2026,25917,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1151/2026,1151/2026,CVM/SRE/AUT/FDC/PRI/2026/569,False,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"10.000.000,0000",False
39.669.186/0001-01,64.372.173/0001-13,14/04/2026,25906,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1150/2026,1150/2026,CVM/SRE/AUT/FDC/PRI/2026/568,False,SARFATY NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"20.000.000,0000",False
16.695.922/0001-09,57.506.211/0001-18,14/04/2026,25922,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SERVIÇOS RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1149/2026,1149/2026,CVM/SRE/AUT/FDC/PRI/2026/567,False,NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  SERVIÇOS RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"10.000.000,0000",False
62.232.889/0001-90,63.673.530/0001-10,14/04/2026,25920,BANCO DAYCOVAL S.A.,FIDC JUSTO FINANCEIRO RESPONSABILIDADE LIMITADA,OPD Aut Profissional - sem bookbuilding,Cotas de FIDC,SRE/1147/2026,1148/2026,CVM/SRE/AUT/FDC/PRI/2026/564;CVM/SRE/AUT/FDC/PRI/2026/565;CVM/SRE/AUT/FDC/PRI/2026/566,False,FIDC JUSTO FINANCEIRO RESPONSABILIDADE LIMITADA,True,Registro Concedido,PRIMARIA,1043,"30.000.000,0000",False
